order_id,date,time
1,"Thursday, January 1, 2015",11:38:36
2,"Thursday, January 1, 2015",11:57:40
3,"Thursday, January 1, 2015",12:12:28
4,"Thursday, January 1, 2015",12:16:31
5,"Thursday, January 1, 2015",12:21:30
6,"Thursday, January 1, 2015",12:29:36
7,"Thursday, January 1, 2015",12:50:37
8,"Thursday, January 1, 2015",12:51:37
9,"Thursday, January 1, 2015",12:52:01
10,"Thursday, January 1, 2015",13:00:15
11,"Thursday, January 1, 2015",13:02:59
12,"Thursday, January 1, 2015",13:04:41
13,"Thursday, January 1, 2015",13:11:55
14,"Thursday, January 1, 2015",13:14:19
15,"Thursday, January 1, 2015",13:33:00
16,"Thursday, January 1, 2015",13:34:07
17,"Thursday, January 1, 2015",13:53:00
18,"Thursday, January 1, 2015",13:57:08
19,"Thursday, January 1, 2015",13:59:09
20,"Thursday, January 1, 2015",14:03:08
21,"Thursday, January 1, 2015",14:14:29
22,"Thursday, January 1, 2015",14:16:26
23,"Thursday, January 1, 2015",14:19:03
24,"Thursday, January 1, 2015",14:23:01
25,"Thursday, January 1, 2015",14:44:44
26,"Thursday, January 1, 2015",14:54:26
27,"Thursday, January 1, 2015",15:11:17
28,"Thursday, January 1, 2015",15:35:46
29,"Thursday, January 1, 2015",15:41:01
30,"Thursday, January 1, 2015",15:41:25
31,"Thursday, January 1, 2015",15:50:18
32,"Thursday, January 1, 2015",15:53:18
33,"Thursday, January 1, 2015",15:54:08
34,"Thursday, January 1, 2015",16:21:21
35,"Thursday, January 1, 2015",16:32:04
36,"Thursday, January 1, 2015",16:54:09
37,"Thursday, January 1, 2015",16:56:09
38,"Thursday, January 1, 2015",17:03:00
39,"Thursday, January 1, 2015",17:07:23
40,"Thursday, January 1, 2015",17:14:36
41,"Thursday, January 1, 2015",17:15:20
42,"Thursday, January 1, 2015",17:28:09
43,"Thursday, January 1, 2015",17:38:34
44,"Thursday, January 1, 2015",17:54:20
45,"Thursday, January 1, 2015",17:55:48
46,"Thursday, January 1, 2015",18:25:51
47,"Thursday, January 1, 2015",18:26:34
48,"Thursday, January 1, 2015",18:26:42
49,"Thursday, January 1, 2015",18:33:00
50,"Thursday, January 1, 2015",18:41:01
51,"Thursday, January 1, 2015",18:48:28
52,"Thursday, January 1, 2015",18:53:02
53,"Thursday, January 1, 2015",18:54:17
54,"Thursday, January 1, 2015",19:01:45
55,"Thursday, January 1, 2015",19:03:19
56,"Thursday, January 1, 2015",19:07:00
57,"Thursday, January 1, 2015",19:10:51
58,"Thursday, January 1, 2015",19:30:40
59,"Thursday, January 1, 2015",19:40:08
60,"Thursday, January 1, 2015",20:05:16
61,"Thursday, January 1, 2015",20:08:43
62,"Thursday, January 1, 2015",20:50:16
63,"Thursday, January 1, 2015",20:51:42
64,"Thursday, January 1, 2015",20:52:08
65,"Thursday, January 1, 2015",21:16:00
66,"Thursday, January 1, 2015",21:47:55
67,"Thursday, January 1, 2015",22:03:40
68,"Thursday, January 1, 2015",22:07:32
69,"Thursday, January 1, 2015",22:12:13
70,"Friday, January 2, 2015",11:38:51
71,"Friday, January 2, 2015",11:40:50
72,"Friday, January 2, 2015",11:57:25
73,"Friday, January 2, 2015",11:58:56
74,"Friday, January 2, 2015",12:01:12
75,"Friday, January 2, 2015",12:10:15
76,"Friday, January 2, 2015",12:21:17
77,"Friday, January 2, 2015",12:22:46
78,"Friday, January 2, 2015",12:28:14
79,"Friday, January 2, 2015",12:29:11
80,"Friday, January 2, 2015",12:35:38
81,"Friday, January 2, 2015",12:40:01
82,"Friday, January 2, 2015",12:45:51
83,"Friday, January 2, 2015",12:53:27
84,"Friday, January 2, 2015",13:13:41
85,"Friday, January 2, 2015",13:34:49
86,"Friday, January 2, 2015",13:40:31
87,"Friday, January 2, 2015",14:01:02
88,"Friday, January 2, 2015",14:10:08
89,"Friday, January 2, 2015",14:30:19
90,"Friday, January 2, 2015",15:08:48
91,"Friday, January 2, 2015",15:14:43
92,"Friday, January 2, 2015",15:17:02
93,"Friday, January 2, 2015",15:29:31
94,"Friday, January 2, 2015",16:17:16
95,"Friday, January 2, 2015",16:18:04
96,"Friday, January 2, 2015",16:21:20
97,"Friday, January 2, 2015",16:45:33
98,"Friday, January 2, 2015",17:18:18
99,"Friday, January 2, 2015",17:45:42
100,"Friday, January 2, 2015",17:46:17
101,"Friday, January 2, 2015",17:51:33
102,"Friday, January 2, 2015",17:54:04
103,"Friday, January 2, 2015",18:02:09
104,"Friday, January 2, 2015",18:02:12
105,"Friday, January 2, 2015",18:12:01
106,"Friday, January 2, 2015",18:12:13
107,"Friday, January 2, 2015",18:25:09
108,"Friday, January 2, 2015",18:25:25
109,"Friday, January 2, 2015",18:27:50
110,"Friday, January 2, 2015",18:36:19
111,"Friday, January 2, 2015",18:38:01
112,"Friday, January 2, 2015",18:41:40
